15;67;99;38;40;45;33;52;28;47;21;71;64;13;59;74;96;20;57;12
70;23;61;93;85;89;20;64;17;44;45;63;36;21;83;67;90;43;16;15
41;13;21;65;23;38;70;36;58;87;48;16;27;14;28;77;54;85;5;75
62;83;34;93;11;9;11;96;68;16;30;51;93;87;68;43;34;78;58;7
44;10;19;69;33;23;7;81;53;70;63;8;23;72;5;27;22;2;72;58
13;54;19;79;95;73;46;4;68;89;13;64;48;79;43;31;99;51;96;76
61;95;4;87;35;35;36;92;81;40;75;13;52;83;95;98;66;75;97;7
45;55;45;17;41;51;96;25;41;62;65;29;51;22;20;57;5;97;77;33
31;61;3;15;9;36;75;37;36;73;29;92;50;61;81;39;88;62;12;39
14;20;88;24;41;4;86;77;23;90;94;61;96;54;69;7;9;20;69;81
31;31;67;23;47;78;66;8;87;15;81;92;35;39;23;37;37;63;72;88
43;8;95;70;17;92;40;92;60;64;60;25;30;53;22;27;36;81;30;77
97;13;52;60;22;11;90;42;97;21;75;66;9;78;42;17;47;7;80;55
2;95;95;77;20;13;90;52;3;35;62;25;70;10;90;31;93;71;59;41
52;20;46;21;80;38;61;19;98;3;76;55;82;36;2;59;76;43;4;25
28;70;93;13;61;4;80;23;16;51;67;51;49;22;8;19;36;33;22;55
95;46;94;15;23;23;74;86;35;60;72;80;28;47;98;67;49;35;30;87
62;53;33;42;96;19;3;27;15;82;50;26;6;38;78;14;2;9;53;41
94;57;74;98;80;91;74;40;12;23;25;26;41;94;76;92;42;30;62;53
14;90;19;88;85;83;94;16;27;84;25;73;62;47;95;24;35;63;79;4